Lang	Family	NINE	ONE	SEVEN	SIX	TEN	THREE	TWO	EIGHT	FIVE	FOUR
142619	bhw	4   4   	5   5   	6   6   6   	7   	8   	9   9   	10   10   	1   	2   2   2   	3   3   
142618	bhw	4   4   	5   5   5   5   	6   	7   7   7   	8   8   8   8   	9   9   	10   10   10   	1   	2   2   2   2   2   	3   
65832	swe	4   30   	21   9   21   21   	28   	7   	8   	24   9   	23   	1   	26   	3   3   
142617	bhw	4   	5   	6   	7   	8   	9   	10   	1   		2   
91852	bhw	30   4   	5   22   	6   6   6   	7   7   	8   31   8   8   	9   9   9   24   9   	10   10   	1   1   	2   7   2   2   	3   3   3   
142616	swe		5   	6   	27   	8   	24   	23   	29   	2   	25   3   3   
56476	bhw	4   4   	5   5   	6   6   	7   7   7   7   	8   8   8   8   8   31   	9   9   	10   10   	1   1   	2   2   3   2   2   	3   3   3   
132761	bhw	4   4   	5   5   5   5   	6   	7   7   7   	8   8   8   8   	9   9   	10   10   	1   1   	2   2   2   2   2   	3   3   3   3   3   
116989	bhw	4   	5   	6   6   	7   	8   8   31   	9   9   	10   	29   1   1   	2   26   2   2   	3   3   3   3   3   
138730	bhw	4   	5   5   	6   	7   	8   	9   	10   10   	1   	2   	3   
136685	swe	30   	21   	28   	27   3   	31   31   	9   	23   	29   	26   	3   
82862	bhw	4   4   	5   	6   6   6   6   6   	7   7   7   7   	8   8   8   8   31   	9   	10   23   10   	1   	2   	3   3   3   3   3   3   
134743	swe	30   	21   5   5   5   	28   6   	27   7   27   	31   8   8   	24   24   9   9   	23   	29   1   	2   2   7   	2   3   
81507	swe	4   	5   5   	6   	7   7   	8   8   8   8   		23   10   10   	29   	2   2   	25   3   25   
142615	bhw	4   	5   	6   	2   7   7   	8   	9   	10   10   	1   	2   	3   
142614	bhw	4   4   	5   5   5   	6   	7   7   	8   8   8   8   31   	9   	10   10   	1   1   	3   3   	3   3   
142613	bhw	4   	5   5   	6   	7   7   7   	8   	9   	10   	1   	2   2   	3   3   
65827	bhw	4   	5   	6   6   	7   7   	8   8   	9   	10   	1   	7   7   	3   
64278	swe	30   4   4   	5   5   5   	28   	7   	8   8   	24   9   	23   23   	29   	2   	3   
130832	bhw	4   	22   5   5   	28   28   6   	7   	31   	24   	10   10   	1   	26   	3   3   
142612	swe	30   	21   		27   	31   	24   	21   23   	29   	2   	3   3   9   
96948	bhw	4   	5   	6   			9   	10   	1   	2   	3   
130830	bhw	4   4   	5   5   	6   6   	7   	8   	9   9   	10   	1   	3   2   9   	3   3   
138728	swe	30   4   	21   5   5   5   	28   	27   	31   31   	24   9   9   	23   23   10   	29   1   29   	26   2   2   2   	3   3   3   
138727	bhw	4   	5   	6   	7   	8   8   31   8   8   	9   	10   	1   	2   	3   
130829	bhw	4   		6   	7   7   	8   	9   9   9   	10   10   	1   1   	7   	3   
142611	bhw	4   4   	5   5   	6   28   	7   	8   	9   	10   	1   	2   	3   3   3   3   
91846	bhw	4   	5   5   	6   	7   	8   8   	9   	10   	1   	2   2   	25   25   
80090	bhw	4   	5   	6   6   	7   	8   8   	9   	10   10   	1   	2   	3   9   3   25   
128788	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   3   	3   3   
126696	bhw	30   4   4   	5   21   	6   	7   	8   	9   	10   10   	29   	2   2   26   2   	25   3   
142610	bhw	4   	5   5   	6   	7   	8   8   	9   9   9   9   	10   10   10   	1   		3   
142609	bhw	4   	5   	6   	7   	8   	9   	3   10   	1   1   	2   	3   
142608	swe	4   	22   	28   	27   	8   	24   	10   	1   1   	26   	3   3   28   
84189	bhw	4   4   	5   	6   	7   7   	8   	9   9   	10   	1   	2   	3   
138725	bhw	4   	5   	6   	7   	8   8   	9   	10   	1   	26   	3   
134740	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   7   	3   
85701	bhw	4   4   4   	5   5   5   	6   6   	7   	8   	9   9   	10   10   	1   	2   3   2   2   	3   3   3   
134739	bhw	30   	22   5   	6   	27   	8   	9   	10   10   23   	1   	2   	3   
132756	swe	30   4   	21   5   22   22   	6   	27   	31   	24   	23   	29   1   	2   	3   
132755	swe	4   	21   	28   	27   	31   	24   	23   	29   	26   	3   
128786	swe	30   	22   22   5   5   	28   6   28   	27   7   7   7   7   	31   	24   	23   	29   1   	26   3   	3   3   3   
142607	swe	30   4   	21   	28   	27   	31   8   	24   	23   10   	29   1   	2   26   2   2   	3   3   
8366	bhw	4   4   4   	5   	6   	7   	8   8   	9   	10   	1   1   	2   	3   
100434	bhw	4   	22   5   	6   	7   	8   8   	3   	10   	29   1   	2   	
78813	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
116982	bhw	4   	5   5   	6   	7   	8   8   	9   9   9   9   	10   10   10   	1   	2   	3   
90295	swe	30   4   4   	5   21   	6   6   6   	27   	8   	24   	23   10   10   	29   	2   26   	25   3   3   3   3   
142606	swe	30   	22   5   9   5   5   5   	6   6   	7   	8   	24   	23   10   10   	29   1   1   	2   	25   25   3   
142605	bhw	4   	5   	6   	7   	8   	9   		1   	2   	3   3   25   
91840	bhw	4   	5   	6   	7   	8   	9   	10   	1   	3   	3   3   3   
134737	bhw	4   	5   	6   	7   		9   	10   	1   	26   	25   
132753	bhw	4   	5   	6   	7   	8   8   	9   	10   	1   	2   	3   3   3   3   25   
98639	swe	30   30   4   	21   5   22   5   5   21   	28   28   6   6   	27   7   7   7   7   	31   8   8   	24   24   9   9   24   	23   10   10   10   10   10   	29   1   1   	26   26   2   2   2   2   	25   3   25   
111342	bhw	4   4   	5   5   5   5   	6   	7   	8   	9   9   9   9   9   	10   10   10   10   	1   	2   2   	3   3   
124752	bhw	4   	5   	6   	7   	8   	9   	10   10   10   	1   	2   	3   
109582	swe	30   	22   5   5   22   5   	28   6   	27   27   7   	8   	24   	23   10   	29   1   1   	2   	25   25   3   
142604	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   	3   3   3   
91839	bhw	4   	5   5   	6   	7   	8   8   	9   	6   10   10   	1   1   	7   3   	3   3   3   3   3   
142603	swe	30   	21   5   5   	28   	27   	31   	9   	23   	29   	2   	3   
142602	swe	30   	21   5   5   5   5   	28   	27   	31   8   31   	24   9   	23   10   	29   29   1   	2   2   	25   3   
142601	bhw	4   	5   5   	6   	7   	8   	9   9   	10   	1   1   1   	2   2   3   	3   3   
142600	bhw	30   	5   5   5   5   22   	6   	7   	8   	9   9   9   	10   10   	1   1   1   	2   	3   
82853	bhw	4   4   4   4   4   4   4   	5   5   5   5   5   5   5   21   	6   6   	7   7   7   	8   8   8   8   8   	9   9   9   9   9   9   9   	10   	1   	2   2   2   	3   25   3   3   
134733	bhw	4   	5   5   	6   	7   	8   	9   	23   	1   1   	2   	3   
142599	bhw	4   4   	5   5   	6   	7   	8   	9   9   	10   	1   	3   2   	3   3   
90291	bhw	4   4   	5   5   	6   	7   7   	8   8   8   	9   	10   	1   1   	2   	3   
87174	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   	2   	3   
100433	bhw	4   4   	5   	6   6   	7   	8   	9   	10   	1   1   	2   2   	3   3   
65809	swe	30   	5   5   5   22   5   	28   6   	7   7   27   	31   	9   	23   	29   	2   	2   25   
85695	bhw	4   	5   5   	6   	7   	8   8   	9   	10   	1   	2   	3   3   
132749	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   2   	3   
113257	bhw	4   	5   5   	6   	7   7   	8   	9   9   9   	10   10   	1   	3   	3   3   
126691	swe	30   	21   	28   28   	27   	31   8   	24   	23   10   	29   	26   	3   3   
87172	bhw	4   	5   	6   6   	7   	8   8   	9   	10   	1   	3   	3   
111339	bhw	4   30   4   	5   	6   	7   	8   8   8   	24   9   	10   	1   1   	2   2   2   	3   25   3   
96939	bhw	4   	5   	6   	7   	8   	9   9   9   	10   10   10   	1   	2   2   	3   
138718	bhw	4   	5   	28   	7   	8   	9   	10   	1   	2   2   	3   
132748	bhw	4   	5   	6   	7   	8   	9   9   	10   10   10   	1   1   	2   	3   3   
138717	bhw	4   	5   4   22   	6   	7   7   	8   	9   	10   10   	1   1   	2   	3   25   
91834	swe	30   	21   5   5   5   5   	28   6   	27   	31   8   	24   	23   	29   	26   2   2   	25   3   3   25   
98634	bhw	4   	5   5   5   	6   	7   7   	8   8   	9   	10   	1   1   	2   	3   
120845	bhw	4   4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
98633	swe	30   	21   5   	28   	27   	31   	24   	10   	29   	26   2   26   	3   
126689	bhw	4   4   	5   	6   	7   	31   	9   	10   	1   	2   2   	3   3   
81489	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
120844	bhw	4   	5   	6   	7   7   	8   	9   	10   	1   	7   	3   
120843	bhw	4   4   	5   	6   6   	7   	8   	9   	10   10   10   	1   	2   2   	3   3   
122742	swe	30   	5   5   	28   	7   	31   8   8   	24   9   9   	23   	29   	2   	25   3   
80168	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   3   	3   3   
126688	bhw	4   4   4   	5   2   5   	6   	7   7   	8   8   	9   9   9   	10   10   	1   1   	2   9   2   	3   3   
44255	swe	30   	22   5   	6   	7   7   	31   8   	24   	23   	29   1   1   	26   	3   
81486	bhw	4   	5   5   	6   	7   7   	8   	9   24   	10   10   23   	1   	26   	3   
109575	swe	30   	21   	28   	27   	31   	24   	23   	29   	26   	3   
85690	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   1   1   	2   2   	3   3   
113253	bhw	4   30   	5   22   5   	6   	7   	8   8   8   8   	9   	10   23   10   	1   29   	3   2   2   	3   3   25   
138715	swe	30   	5   	6   	27   	8   	24   	23   	29   	2   	25   3   3   3   
130817	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   
138714	bhw	4   	5   	6   	7   	8   	9   	10   	1   		3   
116976	swe	4   30   4   	21   21   21   5   	6   	7   	31   8   8   	24   	23   	29   	26   	25   
142598	bhw	4   4   	5   5   	6   	7   7   	8   	9   	10   10   	1   	2   2   	3   3   
102250	bhw	4   	5   	6   6   	7   	8   	9   9   9   	10   	1   1   1   	2   2   	3   3   
84171	bhw	4   4   	5   5   	6   	7   	8   	9   	10   10   10   	1   	2   	3   3   
136673	bhw	4   4   	5   	6   6   6   	7   	8   	9   9   	10   10   	1   	3   2   	3   3   
138712	bhw	4   	5   	6   6   6   6   6   	7   27   	8   8   8   8   	9   9   9   9   9   	10   	1   1   1   1   1   	2   2   	3   3   3   3   3   
132745	swe	4   	21   	6   	7   	31   	24   	23   	29   	26   3   2   	3   
132744	bhw	4   	5   	28   	7   	8   	9   	10   	1   	2   	3   
132742	bhw	4   	5   	6   	7   	8   	9   9   9   	10   10   	1   1   29   	26   	3   25   
85687	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
138711	swe	4   	21   5   5   	28   	7   7   	31   	24   	23   10   	1   1   	26   	3   
113252	bhw	4   	21   	6   	7   7   		9   	10   	1   	2   2   	3   25   25   
142597	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   		3   
68815	bhw	4   	5   	6   6   28   	7   	8   8   	9   9   	10   10   	1   	2   	3   
118983	bhw	4   	21   	6   	27   	8   8   8   	9   	10   	1   	2   2   2   	3   
142596	swe	30   4   	5   	28   28   	7   	31   8   	24   	23   	29   	2   	25   3   
85686	bhw	4   4   	5   	6   	7   	8   	9   	10   10   	1   1   	2   	3   
120836	bhw	4   4   	5   	6   6   	7   7   	8   8   	9   24   	10   10   10   	1   1   1   29   	3   2   2   26   2   	3   3   3   3   3   
116973	bhw	4   	5   5   	6   	7   7   7   7   	8   	9   	10   	1   	2   	3   
67337	swe	30   	21   5   	28   	7   	31   31   8   8   	24   	23   10   10   	29   1   	26   2   2   2   	3   3   3   
100423	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
113251	swe	30   	21   5   5   	28   	27   27   	8   31   8   	24   	23   	29   	26   	3   3   3   
78793	swe	30   	21   	6   	7   27   	8   	24   	23   	29   1   	26   	25   
41117	swe	30   	21   5   	28   	27   7   7   	31   8   8   31   	9   24   	23   10   10   10   10   	29   	2   2   26   	25   25   3   
96929	bhw	4   4   4   	5   	6   6   	7   7   7   7   	8   8   	9   	23   10   10   	1   	2   2   2   26   2   	3   3   
142595	bhw	4   	22   5   	6   	7   	8   8   	3   	10   	29   1   	2   	
142594	bhw	4   4   	5   5   5   	6   28   	7   	8   8   8   	9   24   	10   10   	1   1   1   1   	2   2   	3   
142593	bhw	30   	5   	6   	7   	31   8   8   	9   24   	10   	1   	2   	3   
95209	bhw	4   4   	5   5   5   5   5   	6   28   	7   	8   8   8   8   	9   24   	10   10   	1   1   1   1   	2   2   2   2   	3   
138706	bhw	4   4   	5   	6   	7   	8   	9   	10   10   	1   	2   	3   
118980	bhw	4   	5   5   	6   	7   	8   	9   	10   	1   	2   	3   
90278	bhw	4   4   	5   5   	6   6   	7   	8   8   	9   	10   	1   	2   3   	3   3   3   
80079	bhw	4   4   	5   5   	6   6   6   	7   7   7   7   	8   	9   9   9   	10   10   10   	1   	2   2   2   26   	3   3   
81471	bhw	30   	21   22   21   	6   	7   7   	8   31   8   8   	9   24   9   24   	10   23   	1   1   1   	2   26   	3   25   3   
142592	swe	30   	5   5   5   	28   6   	7   	31   	9   	23   	29   	2   	2   25   
142591	bhw	30   	5   22   	6   6   6   	7   	8   31   8   	9   9   9   24   	10   10   	1   1   	2   7   2   2   	3   3   3   
142590	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   	2   	3   
142589	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   	2   3   	3   
107641	bhw	4   30   	5   5   	6   	7   	8   31   	9   	10   	1   	2   26   	3   
124738	bhw	4   	5   5   	6   6   28   28   	7   	8   	9   24   	10   10   10   	1   	2   	3   3   3   
84163	bhw	4   	5   	6   	7   7   	8   8   	9   	10   	1   	3   2   2   	3   
90276	bhw	4   4   4   	5   5   5   5   	6   	7   	8   8   	9   	10   10   10   10   	1   1   	2   2   2   2   2   2   2   	3   3   
73268	swe	30   	21   22   5   5   5   	28   6   6   28   	27   	31   	24   9   	23   10   10   	29   29   	26   2   26   2   	25   3   3   
70289	bhw	4   	5   	6   6   6   6   6   	7   	8   	9   9   	10   10   10   23   	1   	2   2   	3   3   
142588	swe	4   30   4   	21   21   21   5   	6   	7   7   	31   8   8   	24   9   	23   	29   	26   	25   
116968	swe	4   4   	22   5   9   5   5   5   5   	6   6   6   	7   	8   8   	24   	23   10   10   	29   1   1   	2   2   2   	25   25   3   
105634	bhw	4   	5   	6   	7   	8   	9   		1   	3   	3   
136666	swe	30   30   	22   5   	6   28   	7   	31   	24   	23   	29   1   	26   2   2   3   	3   
142587	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	25   
105633	bhw	4   	5   5   	6   	7   	8   8   	9   	10   23   	1   	2   2   	3   3   25   
96925	swe	4   4   	5   	6   	7   	31   	24   	23   	29   1   	26   26   	3   
100417	bhw	4   4   	5   5   22   	6   6   	7   	31   	9   	10   10   	1   	26   2   	3   
80076	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   	2   	3   
59588	bhw	4   	5   5   5   	6   6   6   6   	7   7   	8   8   	9   9   	10   10   10   	1   	2   	3   3   3   3   3   3   
53418	bhw	4   	4   22   	6   	7   	8   	9   	10   10   10   	1   	2   	3   
100416	bhw	4   	5   	6   6   	7   2   	8   	9   9   9   	10   10   	1   	2   	3   3   
130811	bhw	4   	5   	6   	2   7   	8   	9   	10   	1   	2   	3   3   
142586	bhw	4   	5   	28   	7   	8   	9   	10   	1   	2   	3   
84159	bhw	4   4   	5   	6   	7   7   	8   8   	9   	10   	1   	3   2   3   	3   3   3   3   
142585	bhw	4   4   	5   	6   6   	7   	8   8   	9   24   	10   10   10   	1   	3   2   2   26   	3   3   3   3   
100415	bhw	4   	5   5   5   	6   	7   	8   	9   	10   	1   	2   	3   
98617	swe	30   	5   	28   	7   27   	8   8   8   	24   24   	23   10   	1   1   	26   	25   3   
142584	bhw	4   	5   5   	6   		8   8   	9   	10   	1   	2   3   	3   3   
113241	bhw	4   	5   5   	6   	7   	8   	9   9   9   	10   10   	1   	2   	3   
93410	bhw	30   	5   5   5   5   22   	6   6   	7   	8   8   	9   9   	10   	1   1   1   	2   	3   
130807	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
128764	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   1   	2   	3   
87159	bhw	4   	5   	6   6   	7   	8   	9   9   9   	10   10   	1   1   29   1   	26   2   2   	3   25   
134715	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
138699	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   	2   	3   
122730	bhw	4   	5   5   5   	6   	7   7   	8   	9   	10   	1   	2   2   	3   
134714	bhw	4   	5   	6   	7   	8   	9   	10   10   9   	1   1   	2   2   2   	3   
136664	bhw	4   	5   		7   7   	8   	9   	10   10   10   	1   	2   	3   
142583	bhw	4   	5   	6   	7   	8   	9   		1   	3   	3   
93407	bhw	4   	5   	6   6   	7   	8   	9   	10   	1   	2   	3   
67324	bhw	4   	5   5   	6   6   	7   	8   	9   	10   10   10   	1   	2   7   	3   
90267	swe	30   30   4   30   	5   5   	28   28   	7   7   	31   	9   9   9   	23   10   	29   1   	2   26   	3   3   
138697	bhw	4   	5   	6   	7   7   7   		9   	10   	1   	2   2   2   	3   
118971	bhw	4   4   	5   5   	6   	7   	8   	9   	10   	1   1   	2   	3   
128759	swe	30   	21   5   5   22   5   	28   28   6   6   	7   	31   8   	24   24   	23   23   10   10   	29   1   	26   	25   3   3   
142582	bhw	4   	5   5   	6   	7   	8   	9   	10   23   	1   	2   2   	3   3   25   
142581	bhw	4   	5   5   5   	6   28   	27   	8   8   		10   	1   	2   	3   25   
78738	bhw	4   	5   5   	6   	7   	8   	9   9   9   	10   	1   	2   	3   
118970	bhw	4   	5   	6   	7   27   7   	8   	9   9   24   9   	10   10   	1   	2   26   	3   
91820	bhw		5   5   5   	6   	7   	8   	9   	10   10   	1   1   	2   	3   
134712	bhw	4   	5   	6   	7   	8   	9   	10   	1   		3   
122727	bhw	4   	5   5   	6   	7   	8   	9   9   	10   	1   1   	3   3   2   	3   
138696	bhw	4   4   4   	21   5   22   5   	6   6   	27   7   	8   8   8   8   8   8   	9   9   	10   	1   	2   2   2   7   2   	3   3   
77429	swe	30   	21   22   5   5   	6   	7   	8   	9   9   	23   10   	1   1   1   1   1   	2   2   	3   30   
118969	bhw	4   4   4   	5   	6   	7   7   	8   	9   	10   	1   	2   	3   
100407	bhw	4   30   	5   5   5   22   	6   	7   	8   8   8   8   	9   9   9   	10   	1   29   1   	2   2   	3   25   3   3   
128755	bhw	4   	22   22   	6   28   	7   	8   	9   9   	23   23   	1   	2   	3   25   
142580	bhw	4   	5   	6   6   	7   	8   8   8   	9   	10   	1   		3   3   
138694	bhw	4   	5   22   5   	6   28   6   	7   7   	8   8   	24   	10   	29   	2   2   2   	3   3   3   25   
134709	swe	30   	21   	28   	7   	31   31   8   8   	24   	23   10   	29   	26   2   	3   3   3   
93401	bhw	4   	5   5   	6   6   	7   7   	8   	9   	10   	1   1   	3   2   3   	3   3   3   3   
142579	bhw	4   	5   5   5   	6   	7   7   	8   	9   	10   	1   	2   2   	3   
113235	bhw	4   	5   	6   	7   		9   	10   	1   1   	2   	3   
126673	bhw	4   	5   	6   	7   	8   	9   	10   	1   	3   	3   
116960	bhw	4   	5   	6   6   	7   7   	8   	9   	10   10   10   	1   1   	2   	3   3   3   
142578	bhw	4   	5   	6   	7   7   	8   	9   	10   	1   	7   	3   
128752	swe	30   	5   21   21   	28   	27   	31   8   	24   	23   	1   	2   	25   
130796	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   2   2   2   	3   
130795	bhw	4   	5   5   5   	6   28   	27   	8   8   		10   	1   	2   2   	3   25   25   
87152	swe	30   4   	5   22   	28   	7   	31   	24   	23   	29   	26   2   2   2   2   2   2   	25   25   
105622	bhw	4   	5   5   5   5   5   	6   	7   7   7   	8   	9   	10   10   10   	1   	3   	3   3   3   
113232	bhw	4   	5   	6   	7   7   7   	8   8   8   	9   9   	10   10   	1   	2   	3   
130794	swe	30   	21   	28   	7   	31   31   8   8   	24   	23   10   	29   	26   2   	3   3   3   
142577	swe		21   	6   	7   	31   	24   	23   	29   	3   	3   
142576	bhw	4   	5   	6   	7   	8   	9   	10   10   9   	1   1   	2   2   2   	3   
73247	bhw	4   	5   	6   	7   7   2   	8   8   	9   	10   	1   1   	2   	3   
142575	bhw	4   	5   	6   	7   7   	8   	9   	10   	1   	3   2   	3   
134707	bhw	4   	5   	6   	7   	8   8   	9   	10   	1   	2   	3   25   
124720	bhw	4   	5   	6   	7   	8   	9   	10   	1   1   1   	2   	3   
142574	bhw	4   	5   	6   	7   	8   31   	9   	10   10   10   10   	1   1   1   	2   2   2   	3   
120820	bhw	4   	5   	6   	7   	8   	9   9   		1   	2   	3   3   
142573	bhw	4   	5   	6   	7   		9   	10   	1   	3   	
80060	bhw	4   	5   	6   	7   	8   31   	9   	10   	1   1   	2   	3   
136651	bhw	4   	5   	6   	7   	8   	9   	10   10   	1   1   	2   	
107630	bhw	4   	5   	6   	7   	8   	9   	10   	1   	2   	3   
93393	bhw	4   	5   	6   	7   	8   	9   9   9   	10   	1   	2   	3   3   
142572	swe	30   	5   21   5   22   	28   	27   	8   8   	24   9   9   	23   10   	29   	2   2   	25   
93392	swe	30   30   	22   5   5   	6   28   6   6   	7   7   	31   31   8   	9   24   	23   	29   	26   2   2   2   2   26   	25   
90258	swe	30   30   4   4   	21   22   	6   	7   	31   	24   	23   10   	29   	2   2   	3   
